keyword,dict_type,category,subcategory,standard_sector,official_name,product_type,asset_class,market,country,currency,blue_chips,yahoo_ticker,market_bm,ind_bm,priority,note,updated_at
TSM,6.해외주식지정,IT,AI반도체,IT / AI반도체,TSMC(ADR),개별기업주식,글로벌성장주,GLOBAL,대만,USD,[],2330.TW,QQQ,SOXX,100,글로벌 대표 ADR/해외주식 (TSMC(ADR)),2026-08-26T08:50:42.077439
ASML,6.해외주식지정,IT,반도체소부장,IT / 반도체소부장,ASML 홀딩(ADR),개별기업주식,글로벌성장주,GLOBAL,유럽,USD,[],ASML.AS,QQQ,SOXX,100,글로벌 대표 ADR/해외주식 (ASML 홀딩(ADR)),2026-08-26T08:50:42.077439
ARM,6.해외주식지정,IT,AI반도체,IT / AI반도체,Arm 홀딩스(ADR),개별기업주식,글로벌성장주,NASDAQ,영국,USD,[],ARM.L,QQQ,SOXX,100,글로벌 대표 ADR/해외주식 (Arm 홀딩스(ADR)),2026-08-26T08:50:42.077439
NXPI,6.해외주식지정,IT,AI반도체,IT / AI반도체,NXP 세미컨덕터스,개별기업주식,글로벌성장주,GLOBAL,유럽,USD,[],NXPI,QQQ,SOXX,100,글로벌 대표 ADR/해외주식 (NXP 세미컨덕터스),2026-08-26T08:50:42.077439
STM,6.해외주식지정,IT,AI반도체,IT / AI반도체,ST 마이크로일렉트로닉스(ADR),개별기업주식,글로벌성장주,GLOBAL,유럽,USD,[],STM.PA,QQQ,SOXX,100,글로벌 대표 ADR/해외주식 (ST 마이크로일렉트로닉스(ADR)),2026-08-26T08:50:42.077439
SAP,6.해외주식지정,IT,클라우드소프트웨어,IT / 클라우드소프트웨어,SAP SE(ADR),개별기업주식,글로벌성장주,GLOBAL,유럽,USD,[],SAP.DE,SPY,IGV,100,글로벌 대표 ADR/해외주식 (SAP SE(ADR)),2026-08-26T08:50:42.077439
BABA,6.해외주식지정,통신미디어,이커머스플랫폼,통신미디어 / 이커머스플랫폼,알리바바 그룹(ADR),개별기업주식,글로벌성장주,NYSE,중국,USD,[],9988.HK,SPY,XLC,100,글로벌 대표 ADR/해외주식 (알리바바 그룹(ADR)),2026-08-26T08:50:42.077439
PDD,6.해외주식지정,통신미디어,이커머스플랫폼,통신미디어 / 이커머스플랫폼,핀둬둬(PDD Holdings),개별기업주식,글로벌성장주,NASDAQ,중국,USD,[],PDD,QQQ,XLC,100,글로벌 대표 ADR/해외주식 (핀둬둬(PDD Holdings)),2026-08-26T08:50:42.077439
SE,6.해외주식지정,통신미디어,이커머스플랫폼,통신미디어 / 이커머스플랫폼,Sea Limited(ADR),개별기업주식,글로벌성장주,NYSE,싱가포르,USD,[],SE,SPY,XLC,100,글로벌 대표 ADR/해외주식 (Sea Limited(ADR)),2026-08-26T08:50:42.077439
MBGYY,6.해외주식지정,자유소비재,전기차완성차,자유소비재 / 전기차완성차,메르세데스-벤츠 그룹 ADR,개별기업주식,글로벌성장주,GLOBAL,유럽,USD,[],MBG.DE,SPY,XLY,100,글로벌 대표 ADR/해외주식 (메르세데스-벤츠 그룹 ADR),2026-08-26T08:50:42.077439
