etf_ticker,holding_ticker,holding_name,weight,updated_at
0091P0,047040,대우건설,6418.0,2026-08-25 12:17:57
0091P0,032820,우리기술,5137.0,2026-08-25 12:17:57
0091P0,034020,두산에너빌리티,2482.0,2026-08-25 12:17:57
0091P0,000720,현대건설,1837.0,2026-08-25 12:17:57
0091P0,375500,Dl이앤씨,919.0,2026-08-25 12:17:57
0091P0,130660,한전산업,732.0,2026-08-25 12:17:57
0091P0,051600,한전Kps,703.0,2026-08-25 12:17:57
0091P0,083650,비에이치아이,604.0,2026-08-25 12:17:57
0091P0,052690,한전기술,585.0,2026-08-25 12:17:57
0091P0,105840,우진,434.0,2026-08-25 12:17:57
0091P0,094820,일진파워,304.0,2026-08-25 12:17:57
0091P0,053690,한미글로벌,275.0,2026-08-25 12:17:57
0091P0,100840,Snt에너지,249.0,2026-08-25 12:17:57
0091P0,457550,우진엔텍,179.0,2026-08-25 12:17:57
0091P0,126720,수산인더스트리,130.0,2026-08-25 12:17:57
0091P0,036190,금화피에스시,117.0,2026-08-25 12:17:57
0167A0,005930,삼성전자,856.0,2026-08-25 12:17:57
0167A0,007660,이수페타시스,576.0,2026-08-25 12:17:57
0167A0,353200,대덕전자,351.0,2026-08-25 12:17:57
0167A0,240810,원익Ips,338.0,2026-08-25 12:17:57
0167A0,089970,브이엠,236.0,2026-08-25 12:17:57
0167A0,319660,피에스케이,206.0,2026-08-25 12:17:57
0167A0,095610,테스,121.0,2026-08-25 12:17:57
0167A0,000660,Sk하이닉스,116.0,2026-08-25 12:17:57
0167A0,402340,Sk스퀘어,112.0,2026-08-25 12:17:57
0167A0,009150,삼성전기,96.0,2026-08-25 12:17:57
0173Y0,NOK,Nokia Oyj,1813.47,2026-08-25 12:17:57
0173Y0,COHR,Coherent,270.82,2026-08-25 12:17:57
0173Y0,CIEN,Ciena,210.88,2026-08-25 12:17:57
0173Y0,AAOI,Applied Optoelectronics,162.84,2026-08-25 12:17:57
0173Y0,GLW,Corning,158.43,2026-08-25 12:17:57
0173Y0,LITE,Lumentum,115.15,2026-08-25 12:17:57
0173Y0,MRVL,Marvell Technology,107.16,2026-08-25 12:17:57
0173Y0,TSEM,Tower Semiconductor,89.46,2026-08-25 12:17:57
0173Y0,MTSI,MACOM Technology,52.9,2026-08-25 12:17:57
0173Y0,FN,Fabrinet,36.31,2026-08-25 12:17:57
0174B0,005930,삼성전자,407.0,2026-08-25 12:17:57
0174B0,353200,대덕전자,177.0,2026-08-25 12:17:57
0174B0,MRAAF,Murata,155.92,2026-08-25 12:17:57
0174B0,MRAAY,Murata,155.92,2026-08-22 21:01:46
0174B0,6656.T,Inspec,139.47,2026-08-25 12:17:57
0174B0,INPEF,Inspec,139.47,2026-08-25 12:06:37
0174B0,ADTTF,Advantest,105.26,2026-08-25 12:17:57
0174B0,095610,테스,103.0,2026-08-25 12:17:57
0174B0,IBIDY,Ibiden,100.0,2026-08-25 12:17:57
0174B0,MJPNF,Micronics Japan,86.84,2026-08-25 12:17:57
0174B0,MU,Micron Tech,85.2,2026-08-25 12:17:57
0174B0,LRCX,Lam Research,74.54,2026-08-25 12:17:57
0174B0,031980,피에스케이홀딩스,61.0,2026-08-25 12:17:57
0174B0,KXHCF,Kioxia,59.21,2026-08-25 12:17:57
0174B0,KXIAY,Kioxia,59.21,2026-08-22 21:01:46
0174B0,TOELY,Tokyo Electron,59.21,2026-08-25 12:17:57
0174B0,FORM,FormFactor,53.68,2026-08-25 12:17:57
0174B0,6525.T,Kokusai Electric,53.29,2026-08-22 21:01:46
0174B0,KOKSF,Kokusai Electric,53.29,2026-08-25 12:17:57
0174B0,000660,Sk하이닉스,52.0,2026-08-25 12:17:57
0174B0,AMAT,Applied Materials,44.34,2026-08-25 12:17:57
0174B0,ACLS,Axcelis Technologies,42.63,2026-08-25 12:17:57
0174B0,WDC,Western Digital,40.53,2026-08-25 12:17:57
0174B0,319660,피에스케이,39.0,2026-08-25 12:17:57
0174B0,036930,주성엔지니어링,37.0,2026-08-25 12:17:57
0174B0,064760,티씨케이,35.0,2026-08-25 12:17:57
0174B0,STX,Seagate Technology,23.62,2026-08-25 12:17:57
0174B0,009150,삼성전기,22.0,2026-08-25 12:17:57
0174B0,TER,Teradyne,17.96,2026-08-25 12:17:57
0174B0,SNDK,Sandisk,15.46,2026-08-25 12:17:57
0174B0,MKSI,MKS,12.43,2026-08-25 12:17:57
0174B0,LSRCY,Lasertec,6.58,2026-08-25 12:17:57
0177X0,058610,에스피지,914.0,2026-08-25 12:17:57
0177X0,437730,삼현,724.0,2026-08-25 12:17:57
0177X0,348340,뉴로메카,706.0,2026-08-25 12:17:57
0177X0,090710,휴림로봇,615.0,2026-08-25 12:17:57
0177X0,204320,HL만도,441.0,2026-08-25 12:17:57
0177X0,108490,로보티즈,390.0,2026-08-25 12:17:57
0177X0,005380,현대차,205.0,2026-08-25 12:17:57
0177X0,388720,유일로보틱스,198.0,2026-08-25 12:17:57
0177X0,466100,클로봇,171.0,2026-08-25 12:17:57
0177X0,277810,레인보우로보틱스,129.0,2026-08-25 12:17:57
0177X0,005850,에스엘,119.0,2026-08-25 12:17:57
0177X0,454910,두산로보틱스,119.0,2026-08-25 12:17:57
0177X0,448900,한국피아이엠,87.0,2026-08-25 12:17:57
0177X0,012330,현대모비스,61.0,2026-08-25 12:17:57
0177X0,307950,현대오토에버,41.0,2026-08-25 12:17:57
0181L0,RDW,Redwire,1539.16,2026-08-25 12:17:57
0181L0,SATL,Satellogic,1189.84,2026-08-25 12:17:57
0181L0,LUNR,Intuitive Machines,914.13,2026-08-25 12:17:57
0181L0,PL,Planet Labs PBC,830.12,2026-08-25 12:17:57
0181L0,RKLB,Rocket Lab,805.21,2026-08-25 12:17:57
0181L0,FLY,Firefly Aerospace,723.36,2026-08-25 12:17:57
0181L0,SPCX,Space Exploration Technologies,497.91,2026-08-25 12:17:57
0181L0,ASTS,AST SpaceMobile,495.74,2026-08-25 12:17:57
0181L0,VSAT,Viasat,318.03,2026-08-25 12:17:57
0181L0,BKSY,BlackSky Technology,243.76,2026-08-25 12:17:57
0190G0,005930,삼성전자,808.0,2026-08-25 12:17:57
0190G0,036540,Sfa반도체,434.0,2026-08-25 12:17:57
0190G0,098460,고영,302.0,2026-08-25 12:17:57
0190G0,058470,리노공업,295.0,2026-08-25 12:17:57
0190G0,067310,하나마이크론,281.0,2026-08-25 12:17:57
0190G0,403870,HPSP,270.0,2026-08-25 12:17:57
0190G0,042700,한미반도체,250.0,2026-08-25 12:17:57
0190G0,232140,와이씨,231.0,2026-08-25 12:17:57
0190G0,440110,파두,211.0,2026-08-25 12:17:57
0190G0,000660,Sk하이닉스,197.0,2026-08-25 12:17:57
0190G0,240810,원익Ips,193.0,2026-08-25 12:17:57
0190G0,036930,주성엔지니어링,184.0,2026-08-25 12:17:57
0190G0,000990,Db하이텍,181.0,2026-08-25 12:17:57
0190G0,080220,제주반도체,178.0,2026-08-25 12:17:57
0190G0,089030,테크윙,156.0,2026-08-25 12:17:57
0190G0,183300,코미코,145.0,2026-08-25 12:17:57
0190G0,222800,심텍,144.0,2026-08-25 12:17:57
0190G0,323280,태성,125.0,2026-08-25 12:17:57
0190G0,319660,피에스케이,115.0,2026-08-25 12:17:57
0190G0,161580,필옵틱스,99.0,2026-08-25 12:17:57
0190G0,218410,Rfhic,97.0,2026-08-25 12:17:57
0190G0,101490,에스앤에스텍,95.0,2026-08-25 12:17:57
0190G0,084370,유진테크,81.0,2026-08-25 12:17:57
0190G0,213420,덕산네오룩스,76.0,2026-08-25 12:17:57
0190G0,131970,두산테스나,69.0,2026-08-25 12:17:57
0190G0,108320,Lx세미콘,64.0,2026-08-25 12:17:57
0190G0,166090,하나머티리얼즈,61.0,2026-08-25 12:17:57
0190G0,095340,ISC,60.0,2026-08-25 12:17:57
0190G0,039030,이오테크닉스,50.0,2026-08-25 12:17:57
0190G0,281820,케이씨텍,48.0,2026-08-25 12:17:57
0190G0,348210,넥스틴,44.0,2026-08-25 12:17:57
0190G0,031980,피에스케이홀딩스,42.0,2026-08-25 12:17:57
0190G0,399720,가온칩스,35.0,2026-08-25 12:17:57
0190G0,064760,티씨케이,33.0,2026-08-25 12:17:57
0190G0,322000,Hd현대에너지솔루션,30.0,2026-08-25 12:17:57
157500,006800,미래에셋증권,1542.0,2026-08-25 12:17:57
157500,001510,SK증권,1418.0,2026-08-25 12:17:57
157500,005940,Nh투자증권,1195.0,2026-08-25 12:17:57
157500,003530,한화투자증권,877.0,2026-08-25 12:17:57
157500,003470,유안타증권,614.0,2026-08-25 12:17:57
157500,016360,삼성증권,496.0,2026-08-25 12:17:57
157500,071050,한국금융지주,337.0,2026-08-25 12:17:57
157500,003540,대신증권,209.0,2026-08-25 12:17:57
157500,039490,키움증권,124.0,2026-08-25 12:17:57
157500,001720,신영증권,34.0,2026-08-25 12:17:57
377990,009830,한화솔루션,5087.0,2026-08-25 12:17:57
377990,178320,서진시스템,1821.0,2026-08-25 12:17:57
377990,034020,두산에너빌리티,1620.0,2026-08-25 12:17:57
377990,336260,두산퓨얼셀,1593.0,2026-08-25 12:17:57
377990,100090,Sk오션플랜트,1540.0,2026-08-25 12:17:57
377990,100130,동국S&C,1090.0,2026-08-25 12:17:57
377990,112610,씨에스윈드,939.0,2026-08-25 12:17:57
377990,475150,Sk이터닉스,758.0,2026-08-25 12:17:57
377990,062040,산일전기,659.0,2026-08-25 12:17:57
377990,086390,유니테스트,638.0,2026-08-25 12:17:57
377990,010120,Ls Electric,628.0,2026-08-25 12:17:57
377990,010060,Oci홀딩스,508.0,2026-08-25 12:17:57
377990,388050,지투파워,483.0,2026-08-25 12:17:57
377990,297090,씨에스베어링,455.0,2026-08-25 12:17:57
377990,044490,태웅,366.0,2026-08-25 12:17:57
377990,322000,Hd현대에너지솔루션,200.0,2026-08-25 12:17:57
377990,126340,비나텍,188.0,2026-08-25 12:17:57
377990,389260,대명에너지,171.0,2026-08-25 12:17:57
377990,382900,범한퓨얼셀,164.0,2026-08-25 12:17:57
377990,267260,Hd현대일렉트릭,139.0,2026-08-25 12:17:57
377990,298040,효성중공업,44.0,2026-08-25 12:17:57
411060,M04020000,99 99_1kg,13960.0,2026-08-22 21:01:46
411060,현물 99 99_1KG,현물 99 99_1Kg,13960.0,2026-08-25 12:17:57
442580,005930,삼성전자,1992.82,2026-08-25 12:17:57
442580,003160,디아이,498.68,2026-08-25 12:17:57
442580,LRCX,Lam Research,395.61,2026-08-25 12:17:57
442580,MU,Micron Technology,390.82,2026-08-25 12:17:57
442580,000660,Sk하이닉스,296.57,2026-08-25 12:17:57
442580,AMAT,Applied Materials,251.18,2026-08-25 12:17:57
442580,089030,테크윙,239.02,2026-08-25 12:17:57
442580,TER,Teradyne,49.57,2026-08-25 12:17:57
442580,042700,한미반도체,49.02,2026-08-25 12:17:57
442580,SNDK,Sandisk,44.08,2026-08-25 12:17:57
455850,403870,HPSP,1365.0,2026-08-25 12:17:57
455850,007660,이수페타시스,1155.0,2026-08-25 12:17:57
455850,058470,리노공업,1053.0,2026-08-25 12:17:57
455850,067310,하나마이크론,1017.0,2026-08-25 12:17:57
455850,042700,한미반도체,892.0,2026-08-25 12:17:57
455850,353200,대덕전자,704.0,2026-08-25 12:17:57
455850,036930,주성엔지니어링,702.0,2026-08-25 12:17:57
455850,240810,원익Ips,678.0,2026-08-25 12:17:57
455850,089030,테크윙,567.0,2026-08-25 12:17:57
455850,222800,심텍,518.0,2026-08-25 12:17:57
455850,011790,SKC,517.0,2026-08-25 12:17:57
455850,319660,피에스케이,413.0,2026-08-25 12:17:57
455850,084370,유진테크,292.0,2026-08-25 12:17:57
455850,007810,코리아써키트,245.0,2026-08-25 12:17:57
455850,095610,테스,243.0,2026-08-25 12:17:57
455850,095340,ISC,216.0,2026-08-25 12:17:57
455850,014680,한솔케미칼,189.0,2026-08-25 12:17:57
455850,031980,피에스케이홀딩스,151.0,2026-08-25 12:17:57
455850,064760,티씨케이,107.0,2026-08-25 12:17:57
455850,357780,솔브레인,89.0,2026-08-25 12:17:57
465580,NVDA,NVIDIA,609.0,2026-08-25 12:17:57
465580,SPCX,Space Exploration Technologies,559.0,2026-08-25 12:17:57
465580,AMZN,Amazon,510.0,2026-08-25 12:17:57
465580,AAPL,Apple,397.0,2026-08-25 12:17:57
465580,GOOG,Alphabet,343.0,2026-08-25 12:17:57
465580,MSFT,Microsoft,324.0,2026-08-25 12:17:57
465580,AVGO,Broadcom,214.0,2026-08-25 12:17:57
465580,TSLA,Tesla Motors,35.0,2026-08-25 12:17:57
465580,META,Meta Platforms,23.0,2026-08-25 12:17:57
465580,MU,Micron Tech,14.0,2026-08-25 12:17:57
466920,010140,삼성중공업,16702.0,2026-08-25 12:17:57
466920,042660,한화오션,4032.0,2026-08-25 12:17:57
466920,329180,Hd현대중공업,732.0,2026-08-25 12:17:57
466920,082740,한화엔진,713.0,2026-08-25 12:17:57
466920,009540,Hd한국조선해양,586.0,2026-08-25 12:17:57
466920,017960,한국카본,408.0,2026-08-25 12:17:57
466920,071970,Hd현대마린엔진,285.0,2026-08-25 12:17:57
466920,075580,세진중공업,272.0,2026-08-25 12:17:57
466920,439260,대한조선,251.0,2026-08-25 12:17:57
466920,443060,Hd현대마린솔루션,250.0,2026-08-25 12:17:57
466920,014620,성광벤드,220.0,2026-08-25 12:17:57
466920,077970,Stx엔진,197.0,2026-08-25 12:17:57
466920,023160,태광,174.0,2026-08-25 12:17:57
487240,001440,대한전선,10410.0,2026-08-25 12:17:57
487240,006340,대원전선,5027.0,2026-08-25 12:17:57
