ticker,name,current_price,per,forward_per,pbr,eps,forward_eps,bps,dividend_yield,industry_per,target_price,opinion,high_52w,low_52w,recent_high,recent_low,ma_200,trend,momentum_12m,drop_52w,volatility_60d,smart_guide,momentum_diag,risk_grade,updated_at
000150,두산,1238000.0,349.13,27.41945,14.16,3546.0,,87399.0,,,2170000.0,적극매수,2489000.0,522000.0,1358000.0,1000000.0,1182545.0,━ 박스권세,1.3054,-0.5026,1.1153,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
000240,한국앤컴퍼니,24750.0,6.77,5.6883473,0.49,3658.0,,50477.0,,,33000.0,none,36450.0,21550.0,26700.0,22800.0,25905.0,▼ 하락추세,0.0334,-0.321,0.5384,▼ 하락관망,━ 방향탐색,▼ 비중조절,2026-08-30 09:01:30
000270,기아,128000.0,6.7,5.3762627,0.81,19111.0,,157456.0,,,218290.33,적극매수,212500.0,100000.0,142400.0,123700.0,145968.0,▼ 하락추세,0.2133,-0.3976,0.6379,▼ 바닥확인,▲ 실적지속,▼ 소액접근,2026-08-30 09:01:30
000500,가온전선,204000.0,114.16,,12.56,1787.0,,16247.0,,,,none,635000.0,52600.0,217000.0,119000.0,110959.0,▲ 수급유입,4.6829,-0.6787,1.7601,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
000660,SK하이닉스,1653000.0,28.04,3.5716274,9.62,58955.0,,171751.0,2.1,,3164331.8,적극매수,2987000.0,253000.0,1792000.0,1373000.0,1279885.0,━ 박스권세,5.3092,-0.4466,1.3011,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
000720,현대건설,128900.0,38.83,20.143307,1.75,3320.0,,73523.0,,,182238.1,매수,198400.0,54100.0,135900.0,85500.0,117704.0,▲ 수급유입,0.9649,-0.3503,1.1231,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
000810,삼성화재,687000.0,16.88,10.549432,1.37,40703.0,,500071.0,,,761944.44,매수,757000.0,419000.0,699000.0,600000.0,542925.0,▲ 수급유입,0.5775,-0.0925,0.6593,▲ 추세탑승,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
000990,DB하이텍,93900.0,16.24,9.97027,1.78,5783.0,,52634.0,,,159333.33,적극매수,230500.0,43650.0,104000.0,77500.0,104706.0,▼ 하락추세,1.0347,-0.5926,1.0432,▼ 바닥확인,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
001120,LX인터내셔널,38600.0,10.55,5.1120186,0.5,3659.0,,77069.0,,,57166.668,none,57700.0,29000.0,39100.0,33300.0,39641.0,▼ 하락추세,0.2081,-0.331,0.4925,▼ 하락관망,▲ 실적지속,▼ 비중조절,2026-08-30 09:01:30
001430,세아베스틸지주,42600.0,27.19,11.785164,0.79,1567.0,,54192.0,,,68171.43,none,92500.0,23050.0,46250.0,31700.0,52803.0,▼ 하락추세,0.3028,-0.5395,0.8158,▼ 바닥확인,▲ 실적지속,▼ 소액접근,2026-08-30 09:01:30
001440,대한전선,29700.0,65.71,37.911667,3.44,452.0,,8622.0,,,45300.0,none,75900.0,14740.0,31450.0,22200.0,32434.0,▼ 하락추세,0.8703,-0.6087,0.9331,▼ 바닥확인,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
001510,SK증권,2575.0,21.28,,0.89,121.0,,2884.0,,,,none,6190.0,626.0,3555.0,1832.0,2656.0,▼ 하락추세,0.9202,-0.584,1.0542,▼ 바닥확인,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
001720,신영증권,154900.0,17.07,,0.61,9073.0,,253168.0,,,,none,272000.0,119300.0,168000.0,131500.0,170908.0,▼ 하락추세,0.2073,-0.4305,0.6805,▼ 바닥확인,▲ 실적지속,▼ 소액접근,2026-08-30 09:01:30
003160,디아이,24350.0,135.28,11.622336,3.87,180.0,,6287.0,,,47500.0,none,41700.0,12600.0,27300.0,17900.0,27726.0,▼ 하락추세,0.7368,-0.4161,1.1133,▼ 바닥확인,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
003470,유안타증권,4755.0,10.57,,0.51,450.0,,9275.0,,,,none,8400.0,3315.0,4900.0,4080.0,4617.0,▲ 수급유입,0.301,-0.4339,0.5867,▲ 분할매수,▲ 실적지속,▼ 비중조절,2026-08-30 09:01:30
003530,한화투자증권,5000.0,10.75,,0.53,465.0,,9484.0,,,,none,10300.0,3515.0,5280.0,3855.0,5859.0,▼ 하락추세,-0.1694,-0.5146,0.723,▼ 바닥확인,▼ 자금이탈,▼ 소액접근,2026-08-30 09:01:30
003540,대신증권,26950.0,13.18,6.9014087,0.5,2044.0,,54154.0,,,52000.0,none,51400.0,22750.0,28550.0,24400.0,31473.0,▼ 하락추세,0.0548,-0.4757,0.5304,▼ 바닥확인,▲ 시장동행,▼ 비중조절,2026-08-30 09:01:30
003670,포스코퓨처엠,186300.0,482.64,176.58064,4.07,386.0,,45731.0,,,186777.78,중립(Hold),299500.0,114700.0,188800.0,129000.0,202088.0,▼ 하락추세,0.2437,-0.378,0.8583,▼ 바닥확인,▲ 실적지속,▼ 소액접근,2026-08-30 09:01:30
003690,코리안리,14640.0,8.86,6.405962,0.7,1653.0,,20843.0,,,16000.0,none,15500.0,10010.0,15500.0,13130.0,12692.0,▲ 수급유입,0.3956,-0.0555,0.3601,▲ 상승유지,▲ 실적지속,▼ 비중조절,2026-08-30 09:01:30
005070,코스모신소재,40400.0,74.4,40.099255,2.65,543.0,,15248.0,,,58000.0,none,66400.0,26600.0,42200.0,29300.0,47890.0,▼ 하락추세,0.0332,-0.3916,0.9171,▼ 바닥확인,━ 방향탐색,▼ 소액접근,2026-08-30 09:01:30
005380,현대차,399500.0,11.31,8.27749,0.91,35331.0,,439541.0,,,662566.5,매수,783000.0,212000.0,459500.0,366000.0,461458.0,▼ 하락추세,0.8284,-0.4898,0.6372,▼ 바닥확인,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
005420,코스모화학,11280.0,-12.53,,1.97,-790.0,,5730.0,,,,none,21650.0,7160.0,11710.0,8130.0,14343.0,▼ 하락추세,-0.3266,-0.479,0.8033,▼ 바닥확인,▼ 자금이탈,▼ 소액접근,2026-08-30 09:01:30
005490,POSCO홀딩스,337500.0,41.74,11.567946,0.46,8085.0,,736969.0,,,453764.72,매수,542000.0,258500.0,344250.0,298000.0,351800.0,▼ 하락추세,0.0449,-0.3773,0.5491,▼ 바닥확인,━ 방향탐색,▼ 비중조절,2026-08-30 09:01:30
005830,DB손해보험,187400.0,7.42,6.2098026,1.04,25263.0,,179423.0,,,222529.4,적극매수,214000.0,118100.0,191400.0,150400.0,153545.0,▲ 수급유입,0.4606,-0.1243,0.4598,▲ 상승유지,▲ 실적지속,▼ 비중조절,2026-08-30 09:01:30
005850,에스엘,52400.0,7.83,5.8602324,0.95,6692.0,,55423.0,,,86500.0,적극매수,79500.0,32650.0,63400.0,50700.0,55569.0,▼ 하락추세,0.5145,-0.3409,0.6103,▼ 하락관망,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
005930,삼성전자,257000.0,39.15,3.7528324,4.02,6564.0,,63997.0,2.1,,470155.62,적극매수,374500.0,67500.0,288000.0,227500.0,207874.0,━ 박스권세,2.6506,-0.3138,1.0891,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
005940,NH투자증권,26650.0,9.23,6.9356894,1.06,2888.0,,25187.0,,,42333.332,매수,42600.0,18890.0,29700.0,25450.0,28399.0,▼ 하락추세,0.3259,-0.3744,0.57,▼ 바닥확인,▲ 실적지속,▼ 비중조절,2026-08-30 09:01:30
006260,LS,313000.0,37.01,12.89062,1.71,8458.0,,182946.0,,,547750.0,적극매수,604000.0,161200.0,359000.0,244500.0,296560.0,━ 박스권세,0.8261,-0.4818,0.98,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
006340,대원전선,13610.0,120.44,,8.91,113.0,,1527.0,,,,none,20300.0,2765.0,16370.0,11400.0,8052.0,▲ 수급유입,3.7422,-0.3296,1.4565,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
006400,삼성SDI,571000.0,-57.42,31.099339,2.1,-8325.0,,272485.0,,,711677.44,매수,723000.0,196800.0,578000.0,362000.0,434008.0,▲ 수급유입,1.9357,-0.2102,0.9128,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
006800,미래에셋증권,36150.0,16.78,9.596662,1.59,2154.0,,22705.0,,,59083.332,매수,87800.0,17830.0,40400.0,31725.0,46125.0,▼ 하락추세,0.8832,-0.5883,0.7785,▼ 바닥확인,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
007660,이수페타시스,112800.0,49.98,18.521368,10.96,2257.0,,10292.0,,,175384.61,적극매수,164400.0,57900.0,115900.0,66100.0,116438.0,▼ 하락추세,0.8831,-0.3139,1.1826,▼ 하락관망,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
007810,코리아써키트,60100.0,34.82,10.745575,3.74,1726.0,,16070.0,,,104500.0,none,148300.0,11980.0,73200.0,43150.0,66992.0,▼ 하락추세,4.2443,-0.5947,1.2752,▼ 바닥확인,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
009150,삼성전기,1421000.0,156.17,33.651855,11.25,9099.0,,126302.0,,,2345555.5,적극매수,2417000.0,158000.0,1600000.0,1024000.0,819962.0,━ 박스권세,9.2599,-0.4121,1.3621,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
