ticker,name,market,country,product_type,asset_class,sector_industry,blue_chips,market_bm,ind_bm,notion_page_id,updated_at
0091P0,TIGER 코리아원자력,ETF(KR),한국,섹터테마알파,국내주식밸류,ETF / 코리아원자력,[],,,334f59db-db5b-804d-8216-df3dce96aac0,2026-08-26T22:19:48.961638
0104P0,TIGER 코리아배당다우존스위클리커버드콜,ETF(KR),한국,배당인컴상품,한미배당성장,ETF / 코리아배당다우존스,[],,,2f0f59db-db5b-8151-9b5c-e806356cae50,2026-08-26T22:19:48.961638
0111P0,1Q 미국나스닥100미국채혼합50액티브,ETF(KR),미국,채권금리상품,미국장기국채,ETF / 1Q 미국나스닥100미국채혼합50,[],,,2f0f59db-db5b-81dd-a3ac-f20e7e74c008,2026-08-26T22:19:48.961638
0115E0,KODEX 코리아소버린AI,ETF(KR),한국,섹터테마알파,국내주식밸류,ETF / 코리아소버린AI,[],,,2f0f59db-db5b-81f8-a06d-e3021c215177,2026-08-26T22:19:48.961638
0167A0,SOL AI반도체TOP2플러스,ETF(KR),한국,섹터테마알파,국내주식밸류,ETF / AI반도체,[],,,36ff59db-db5b-8015-9bc5-e74929466e6d,2026-08-26T22:19:48.961638
0173Y0,KODEX 미국AI광통신네트워크,ETF(KR),미국,섹터테마알파,글로벌성장주,ETF / 미국AI광통신네트워크,[],,,334f59db-db5b-80d6-a0d0-f57eadf6a738,2026-08-26T22:19:48.961638
0174B0,KoAct 글로벌AI메모리반도체액티브,ETF(KR),글로벌,섹터테마알파,글로벌성장주,ETF / KoAct 글로벌AI메모리반도체,[],,,342f59db-db5b-80d7-82b6-f58544a2fb72,2026-08-26T22:19:48.961638
0177X0,ACE K휴머노이드로봇산업TOP2+,ETF(KR),한국,섹터테마알파,국내주식밸류,ETF / K휴머노이드로봇산업,[],,,368f59db-db5b-8055-8ad0-e3423fbc6e85,2026-08-26T22:19:48.961638
0181L0,SOL 미국우주항공TOP10,ETF(KR),글로벌,섹터테마알파,글로벌성장주,ETF / 미국우주항공,[],,,349f59db-db5b-8009-9559-c2b9f5f76883,2026-08-26T22:19:48.961638
0190G0,KODEX 반도체타겟위클리커버드콜,ETF(KR),한국,섹터테마알파,국내주식밸류,ETF / 반도체,[],,,35ef59db-db5b-803c-a4b3-f0a84ea40f30,2026-08-26T22:19:48.961638
069500,KODEX 200,ETF(KR),한국,지수추종패시,국내주식밸류,ETF,[],,,2f0f59db-db5b-81b9-8fec-c95376dbc921,2026-08-26T22:19:48.961638
091160,KODEX 반도체,ETF(KR),한국,섹터테마알파,국내주식밸류,ETF / 반도체,[],,,35ef59db-db5b-8002-ad87-c4b06dae035a,2026-08-26T22:19:48.961638
091170,KODEX 은행,ETF(KR),한국,섹터테마알파,국내주식밸류,ETF / 은행,[],,,353f59db-db5b-80ed-a374-ced58bdbc1b8,2026-08-26T22:19:48.961638
